Id,Name,FullText,FileName,ContentId,UserId,CreatedDate,Grade,IsClosed,ModifiedDate
1,Solution - User 9 - Content 62,Solution - User 9 - Content 62,file_0001,62,9,2025-09-14 00:00:00+00,0,true,2025-09-14 00:00:00+00
2,Solution - User 10 - Content 62,Solution - User 10 - Content 62,file_0002,62,10,2025-09-10 00:00:00+00,0,true,2025-09-10 00:00:00+00
3,Solution - User 11 - Content 62,Solution - User 11 - Content 62,file_0003,62,11,2025-09-14 00:00:00+00,0,true,2025-09-14 00:00:00+00
4,Solution - User 12 - Content 62,Solution - User 12 - Content 62,file_0004,62,12,2025-09-01 00:00:00+00,81,true,2025-09-01 00:00:00+00
5,Solution - User 13 - Content 62,Solution - User 13 - Content 62,file_0005,62,13,2025-09-02 00:00:00+00,75,true,2025-09-02 00:00:00+00
6,Solution - User 14 - Content 62,Solution - User 14 - Content 62,file_0006,62,14,2025-09-06 00:00:00+00,76,true,2025-09-06 00:00:00+00
7,Solution - User 15 - Content 62,Solution - User 15 - Content 62,file_0007,62,15,2025-09-05 00:00:00+00,40,true,2025-09-05 00:00:00+00
8,Solution - User 16 - Content 62,Solution - User 16 - Content 62,file_0008,62,16,2025-09-02 00:00:00+00,74,true,2025-09-02 00:00:00+00
9,Solution - User 17 - Content 62,Solution - User 17 - Content 62,file_0009,62,17,2025-09-03 00:00:00+00,98,true,2025-09-03 00:00:00+00
10,Solution - User 18 - Content 62,Solution - User 18 - Content 62,file_0010,62,18,2025-09-01 00:00:00+00,77,true,2025-09-01 00:00:00+00
11,Solution - User 19 - Content 62,Solution - User 19 - Content 62,file_0011,62,19,2025-09-01 00:00:00+00,85,true,2025-09-01 00:00:00+00
12,Solution - User 20 - Content 62,Solution - User 20 - Content 62,file_0012,62,20,2025-09-01 00:00:00+00,72,true,2025-09-01 00:00:00+00
13,Solution - User 21 - Content 62,Solution - User 21 - Content 62,file_0013,62,21,2025-09-05 00:00:00+00,85,true,2025-09-05 00:00:00+00
14,Solution - User 22 - Content 62,Solution - User 22 - Content 62,file_0014,62,22,2025-09-03 00:00:00+00,94,true,2025-09-03 00:00:00+00
15,Solution - User 23 - Content 62,Solution - User 23 - Content 62,file_0015,62,23,2025-09-05 00:00:00+00,94,true,2025-09-05 00:00:00+00
16,Solution - User 24 - Content 62,Solution - User 24 - Content 62,file_0016,62,24,2025-09-01 00:00:00+00,85,true,2025-09-01 00:00:00+00
17,Solution - User 25 - Content 62,Solution - User 25 - Content 62,file_0017,62,25,2025-09-07 00:00:00+00,76,true,2025-09-07 00:00:00+00
18,Solution - User 26 - Content 62,Solution - User 26 - Content 62,file_0018,62,26,2025-09-07 00:00:00+00,84,true,2025-09-07 00:00:00+00
19,Solution - User 27 - Content 62,Solution - User 27 - Content 62,file_0019,62,27,2025-09-04 00:00:00+00,32,true,2025-09-04 00:00:00+00
